x1,y1,x2,y2
0,0,5,0
0,0,5,0
0,0,16,0
3,0,16,0
3,0,16,0
3,0,16,0
3,0,16,0
3,0,16,0
3,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
5,0,9,2
16,0,15,2
16,0,15,2
16,0,15,2
16,0,15,2
16,0,15,2
16,0,15,2
16,0,15,2
16,0,15,2
16,0,15,2
16,0,15,2
16,0,15,2
16,0,15,2
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
9,2,13,1
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,11,0
15,2,23,1
13,1,23,1
13,1,23,1
13,1,23,1
13,1,23,1
13,1,23,1
13,1,23,1
13,1,23,1
13,1,23,1
13,1,23,1
13,1,23,1
13,1,23,1
13,1,23,1
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,30,2
11,0,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,28,1
23,1,26,3
23,1,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
30,2,26,3
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
28,1,40,0
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
26,3,31,2
