star,emotion
4,0.9965770945253447
2,0.9590113858836273
1,0.8531157019963821
5,0.8394216545898604
5,0.9543900576641804
2,0.9629062955943058
5,0.9780562249083319
1,0.42987031244748003
5,0.9967078755444396
1,0.9364303001382651
4,0.6936703269729791
5,0.9999101733349247
5,0.9947022084869802
4,0.9991915456100245
5,0.010104067985309604
5,0.8568731516646432
5,0.9999459155968613
4,0.9161241313521107
2,0.1780635108091695
3,0.9989903114037698
4,0.9758638535285987
5,0.3640655644568357
3,0.9229273259429158
5,0.9995401756291119
5,0.971305439437766
4,0.9044028754597702
5,0.4814866520431143
1,0.8935691404462096
3,0.9850325262101739
2,0.700304645136437
1,0.4571840266794087
5,0.40498369358219627
5,0.995749349781899
3,0.9999287809881423
5,0.7220685758148796
5,0.8482314420803945
3,0.08537675096992356
4,0.8206829622034618
3,0.987559269233918
5,0.7314218578167231
5,0.9887967938224713
3,0.9517523806722147
5,0.9999881673248171
4,0.5818640538772525
5,0.9905789524122064
4,0.14969087111756915
1,0.4256266482271084
1,0.3136453683046515
3,0.999712175322351
5,0.7111229281048425
3,0.9944169803914436
5,0.6237593592199203
4,0.9997402763843385
5,0.9978534311279137
5,0.6611280692485375
3,0.4924186264830766
5,0.6261277085252801
1,0.143987351896502
5,0.9904771590654268
2,0.9976468545560804
5,0.9999999698320262
4,0.21057954491073563
5,0.655147496963651
5,0.9417580565334049
5,0.8158732992892629
1,0.9570503680163573
2,0.9343593472245522
4,0.9936820194622492
5,0.999606650977211
5,0.020662693100890264
5,0.999998417009314
5,0.9813627465076588
1,0.04488858224046613
4,0.9142166579667914
4,0.5606470113740291
5,0.9987582627972741
4,0.01779966849912994
5,0.5722827865467983
5,0.9999901231644974
5,0.9962476901565855
4,0.999783820554082
5,0.9432726135426855
1,0.998380116774076
4,0.5827961814164109
5,0.9854979628710485
5,0.6670204792532245
5,0.9907423231231328
1,0.6922489570849606
5,0.9438288143947557
1,0.05308326123194232
5,0.9755638984693301
5,0.9158894666067078
3,0.9500538921436036
5,0.6315763131156747
5,0.4035272747078917
1,0.2751473382977732
