x1,y1,x2,y2
0,0,12,1
0,0,12,1
0,0,12,1
0,0,12,1
0,0,12,1
0,0,12,1
0,0,12,1
0,0,12,1
0,0,12,1
0,0,12,1
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
9,0,3,0
12,1,4,1
12,1,4,1
12,1,4,1
12,1,12,0
3,0,12,0
3,0,12,0
3,0,12,0
3,0,12,0
4,1,10,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
10,5,7,1
10,5,7,1
0,1,16,1
0,1,16,1
0,1,16,1
0,1,16,1
0,1,16,1
0,1,16,1
0,1,16,1
0,1,16,1
0,1,16,1
0,1,16,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,1
7,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,34,4
16,1,18,4
16,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,18,4
34,1,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,6
34,4,27,2
34,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,27,2
18,4,21,4
18,4,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,21,4
27,6,30,3
27,6,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,30,3
27,2,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,40,4
21,4,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,64,7
30,3,53,9
30,3,53,9
30,3,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,53,9
40,4,44,11
40,4,44,11
40,4,44,11
40,4,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,44,11
64,7,0,0
64,7,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
53,9,0,0
