keys,values
but,1.0
not,0.8765560165975104
as,0.5871369294605809
s,0.524896265560166
so,0.40975103734439833
like,0.35892116182572614
very,0.32261410788381745
be,0.3215767634854772
work,0.31950207468879666
use,0.3112033195020747
than,0.30809128630705396
just,0.3039419087136929
good,0.30186721991701243
get,0.29771784232365145
if,0.27800829875518673
would,0.274896265560166
cord,0.27282157676348545
does,0.26141078838174275
setting,0.25622406639004147
dry,0.25622406639004147
too,0.241701244813278
out,0.22717842323651452
more,0.22614107883817428
blow,0.22614107883817428
year,0.22406639004149378
great,0.22302904564315354
heat,0.21991701244813278
well,0.21887966804979253
when,0.21784232365145229
or,0.2157676348547718
me,0.21473029045643152
after,0.21369294605809128
about,0.21058091286307054
ha,0.20850622406639005
other,0.2012448132780083
are,0.1950207468879668
hot,0.1950207468879668
time,0.1950207468879668
product,0.1950207468879668
Star,0.1950207468879668
all,0.18672199170124482
only,0.18360995850622408
because,0.18360995850622408
Three,0.18153526970954356
can,0.18049792531120332
really,0.17738589211618258
don,0.16804979253112035
will,0.16701244813278007
long,0.1628630705394191
used,0.15975103734439833
much,0.15975103734439833
off,0.15767634854771784
air,0.1545643153526971
doesn,0.15352697095435686
high,0.15145228215767634
no,0.14937759336099585
last,0.14937759336099585
m,0.1462655601659751
also,0.1462655601659751
speed,0.1462655601659751
dryers,0.14522821576763487
price,0.1441908713692946
up,0.14107883817427386
heavy,0.1400414937759336
what,0.1400414937759336
hairdryer,0.13796680497925312
fine,0.13796680497925312
your,0.13485477178423236
which,0.1338174273858921
little,0.1338174273858921
take,0.13174273858921162
button,0.13070539419087138
drying,0.12863070539419086
do,0.1275933609958506
low,0.12655601659751037
from,0.12655601659751037
bought,0.12551867219917012
ok,0.12551867219917012
powerful,0.12448132780082988
using,0.12344398340248963
better,0.12136929460580913
they,0.12033195020746888
nice,0.11825726141078838
make,0.11721991701244813
job,0.11721991701244813
its,0.11721991701244813
power,0.11618257261410789
there,0.11618257261410789
am,0.11514522821576763
month,0.11410788381742738
cool,0.11307053941908714
However,0.11307053941908714
ve,0.11203319502074689
seem,0.10995850622406639
attachment,0.10995850622406639
still,0.10892116182572614
review,0.10892116182572614
two,0.10684647302904564
didn,0.10684647302904564
while,0.10580912863070539
even,0.10477178423236515
Conair,0.1037344398340249
did,0.09439834024896265
way,0.09439834024896265
bit,0.09439834024896265
enough,0.09336099585062241
need,0.09336099585062241
now,0.09336099585062241
longer,0.09336099585062241
model,0.0912863070539419
any,0.0912863070539419
old,0.09024896265560166
feel,0.08921161825726141
could,0.08817427385892117
back,0.08713692946058091
switch,0.08609958506224066
some,0.08506224066390042
by,0.08298755186721991
same,0.08091286307053942
over,0.08091286307053942
okay,0.08091286307053942
travel,0.07987551867219916
should,0.07987551867219916
another,0.07987551867219916
dries,0.07883817427385892
problem,0.07883817427385892
light,0.07780082987551867
thick,0.07780082987551867
buy,0.07676348547717843
pretty,0.07572614107883817
love,0.07572614107883817
retractable,0.07572614107883817
expected,0.07572614107883817
loud,0.07468879668049792
look,0.07468879668049792
first,0.07365145228215768
lot,0.07365145228215768
think,0.07365145228215768
handle,0.07365145228215768
diffuser,0.07261410788381743
purchased,0.07157676348547717
worked,0.07157676348547717
short,0.06950207468879668
quiet,0.06950207468879668
hold,0.06950207468879668
since,0.06846473029045644
keep,0.06846473029045644
how,0.06846473029045644
day,0.06846473029045644
thing,0.06846473029045644
quickly,0.06742738589211618
then,0.06639004149377593
say,0.06639004149377593
been,0.06639004149377593
bad,0.06535269709543569
turn,0.06535269709543569
thought,0.06431535269709543
feature,0.06431535269709543
less,0.06431535269709543
new,0.06431535269709543
before,0.06431535269709543
made,0.06327800829875518
small,0.06224066390041494
looking,0.06224066390041494
find,0.061203319502074686
most,0.061203319502074686
big,0.061203319502074686
want,0.06016597510373444
size,0.06016597510373444
them,0.06016597510373444
plastic,0.05912863070539419
disappointed,0.05912863070539419
unit,0.05912863070539419
head,0.05912863070539419
know,0.058091286307053944
down,0.058091286307053944
got,0.058091286307053944
weight,0.05705394190871369
quality,0.05705394190871369
though,0.05705394190871369
working,0.05705394190871369
something,0.056016597510373446
cheap,0.056016597510373446
wall,0.054979253112033194
wanted,0.054979253112033194
Amazon,0.05394190871369295
lasted,0.052904564315352696
fit,0.052904564315352696
she,0.05186721991701245
easy,0.05186721991701245
different,0.0508298755186722
hard,0.04979253112033195
purchase,0.04979253112033195
come,0.04979253112033195
d,0.04979253112033195
few,0.04979253112033195
previous,0.04979253112033195
Overall,0.0487551867219917
until,0.0487551867219917
control,0.0487551867219917
we,0.0487551867219917
minute,0.0487551867219917
wish,0.0487551867219917
again,0.0487551867219917
ll,0.04771784232365145
sure,0.04771784232365145
were,0.046680497925311204
week,0.046680497925311204
without,0.046680497925311204
came,0.046680497925311204
died,0.046680497925311204
frizz,0.046680497925311204
hand,0.046680497925311204
going,0.04564315352697095
shot,0.04564315352697095
issue,0.04564315352697095
ionic,0.04564315352697095
warm,0.04564315352697095
being,0.04564315352697095
where,0.04564315352697095
difference,0.044605809128630707
far,0.044605809128630707
nothing,0.044605809128630707
said,0.044605809128630707
strong,0.043568464730290454
see,0.043568464730290454
recommend,0.043568464730290454
stopped,0.043568464730290454
