id,danceability,acousticness,a_instrumentalness,liveness,a_speechiness,a_energy,a_valence,a_tempo,a_loudness,a_mode,a_key
[754032],0.9833650190114068,0.6696763899914597,0.8619979402677652,0.1440008211023299,0.08288505873312109,0.5543980303986001,0.10795635130840134,0.4213491402537599,0.8794461037197937,1.0,0.0
[754032],0.5163973384030418,0.9257022883263466,9.001029866117405e-05,0.10705121625782614,0.017784608628828632,0.31328463588825356,0.1768195783451637,0.24440307647087642,0.7329351072495248,0.0,0.36363636363636365
[754032],0.6138307984790874,0.036338599130100305,0.0,0.08549728009853229,0.0016467230211878376,0.4526624209005636,0.6853480241551012,0.25420565326017736,0.7411620961172958,1.0,0.2727272727272727
[754032],0.6221482889733839,0.35340910381307,0.009402677651905252,0.6900338704711074,0.05818421341530355,0.668341913036401,0.5539781756542007,0.29833439474844464,0.8063806679337496,1.0,0.0
[754032],0.7504752851711026,0.2951757622310173,0.0,0.3431181360977112,0.012295531891535842,0.4312979429059759,0.8410848606843945,0.3798020869054034,0.7392614716263916,1.0,0.36363636363636365
[754032],0.39757604562737636,0.958835051640273,0.000592173017507724,0.05737452530021555,0.01196618728729828,0.18713248011068834,0.22237525161563726,0.5146573262136874,0.647407005158838,1.0,0.8181818181818182
[754032],0.7112642585551331,0.6495959273769587,0.0,0.1296315303294673,0.19310571961796025,0.5350682645939733,0.7022989723487657,0.4117817077352668,0.7502579418951941,1.0,0.18181818181818182
[754032],0.6625475285171102,0.3865418671269966,0.3171987641606591,0.18916144924561223,0.006477110550005488,0.7578692493946732,0.7912914503655049,0.3642041836084848,0.8578332880803693,1.0,0.18181818181818182
[754032],0.5651140684410647,0.1997935648121379,0.0,0.16144924561223442,0.02085849160171259,0.7344700592101248,0.8951160080517004,0.4892715426443932,0.8331794732554982,1.0,0.0
[754032],0.5318441064638784,0.8393562990839926,0.0,0.3872523863286463,0.01262487649577341,0.3031110749384499,0.622841402690963,0.5027041591142899,0.8710290524029324,0.0,0.36363636363636365
[754032],0.433222433460076,0.21887000429591377,6.0453141091658083e-05,0.9076259878887407,0.07585904050938633,0.6591857081815777,0.6260197054772751,0.2985646401802773,0.7760792831930491,1.0,0.6363636363636364
[754032],0.7480988593155893,0.8092356051622412,3.357363542739444e-05,0.07164117828184338,0.02854319903392249,0.16678535821108104,0.6440300879330437,0.5096997011708225,0.6764594080912301,1.0,0.09090909090909091
[754032],0.5068916349809885,0.9086338951040208,6.920700308959835e-05,0.33285435697423793,0.02151718081018773,0.20544488982033488,0.14609598474414665,0.2045559202469015,0.625658430627206,0.0,0.36363636363636365
[754032],0.49144486692015205,0.28915162344666706,0.0,0.042902596736118244,0.014052036447469538,0.46894011842024946,0.7287848289013666,0.3825111448586685,0.6970404561498779,0.0,0.0
[754032],0.49976235741444863,0.7098373152204615,4.778578784757981e-06,0.3010366416914708,0.04248545394664617,0.8097544102386718,0.853798071829643,0.6557242933424778,0.8653543307086615,1.0,0.0
[754032],0.26924904942965777,0.14457229262226032,0.0,0.373909473468131,0.016686793281370075,0.7527824689197713,0.9735141434473991,0.5849948562190761,0.7926418680423567,0.0,0.36363636363636365
[754032],0.6280893536121672,0.4969844115067517,6.282183316168898e-06,0.2179000307913374,0.040070260182237354,0.3041284310334303,0.5232545820531836,0.37804340371331996,0.6661688840619061,1.0,0.0
[754032],0.7100760456273765,0.38553784399627156,0.0,0.37083033973108903,0.017455264024591063,0.6530815716116956,0.6567432990782922,0.2732964287463871,0.8141189247895738,1.0,0.36363636363636365
[754032],0.8027566539923954,0.023185896117602196,0.0002008238928939238,0.11731499538129941,0.08079920957294982,0.43943679166581884,0.8018857929865453,0.425954048890413,0.7013847407005159,1.0,0.18181818181818182
[754032],0.9572243346007604,0.7028091533053862,0.001894953656024717,0.44267679359540185,0.26007245581293226,0.14236881193155226,0.38129039093124273,0.3845686572282369,0.5235134401303285,1.0,0.6363636363636364
[754032],0.7659220532319391,0.4136504916565728,0.0494335736354274,0.2928256183926922,0.06564935777802174,0.4923393086047978,0.36963661404809833,0.45445549404791064,0.8004344284550639,1.0,0.0
[754032],1.0,0.2550148370020155,0.4933058702368692,0.1203941291183414,0.10637830716873421,0.5157384987893463,0.34209132323339336,0.37531475040415424,0.768449633450991,0.0,0.5454545454545454
[754032],0.6518536121673003,0.18573724098198724,7.693099897013388e-05,0.017756337883608746,0.0364474695356241,0.4587665574704458,0.6143659285941308,0.4071229118698868,0.7708661417322834,1.0,0.45454545454545453
[754032],0.3001425855513308,0.0665596953649242,0.0,0.026583187929795755,0.018333516302557914,0.37432600158707546,0.21919694882932514,0.29455249105961884,0.7400488732011947,1.0,0.18181818181818182
[754032],0.6209600760456273,0.30822806293044297,3.038105046343975e-05,0.31335317663963874,0.004830387528817654,0.5157384987893463,0.5423243987710563,0.25245186890706905,0.7843877273961446,0.0,0.5454545454545454
[754032],0.5544201520912547,0.30220392414609265,5.973223480947477e-05,0.1871086934209176,0.008892304314414314,0.47707896718009235,0.7753999364339443,0.5295938862489591,0.8551181102362205,1.0,0.6363636363636364
[754032],0.44510456273764254,0.8102396282929663,5.993820803295572e-05,0.09986657087139485,0.01196618728729828,0.3855169186318595,0.47028286894798177,0.5110713760838681,0.8146348085799621,1.0,0.0
[754032],0.6447243346007604,0.2088297729886633,0.0,0.5093913578979781,0.009221648918651884,0.6439253667568723,0.6578027333403963,0.3715916327830304,0.8727396144447462,1.0,0.09090909090909091
[754032],0.738593155893536,0.719877546527712,0.47888774459320294,0.07759417017345788,0.03359314963223185,0.7568518932996928,0.11431295688102554,0.30902366139225007,0.8182731468911214,1.0,0.6363636363636364
[754032],0.4593631178707224,0.7269057084427873,4.07826982492276e-05,0.06076157241096172,0.0267866944779888,0.29904165055852844,0.3219620722534167,0.4872336256307255,0.6861525929948412,1.0,0.18181818181818182
[754032],0.433222433460076,0.9146580338883711,6.910401647785789e-05,0.09165554757261625,0.03018992205511033,0.009502105927116608,0.11007521983260941,0.1820996423847548,0.43057290252511543,1.0,0.36363636363636365
[754032],0.4807509505703422,0.32529645615276875,0.0015139031925849639,0.45704608436826444,0.024810626852563397,0.33261440169288053,0.2202563830914292,0.2244843971978641,0.7032310616345371,0.0,0.36363636363636365
[754032],0.36787072243346003,0.7018051301746611,0.1822863027806385,0.11526223955660476,0.018443297837303762,0.43638472338087775,0.1598686301514991,0.4177337970900897,0.7661688840619061,1.0,0.45454545454545453
[754032],0.4153992395437262,0.8724890623979191,0.0,0.3461972698347532,0.5400153694148644,0.22680936781492256,0.30924886110816824,0.5759271052760496,0.4368449633450991,1.0,0.8181818181818182
