id,754032,66915,824022,343396,46861,238115,259529,317093,423829
754032,1,0.827445761,0.934520106,0.628947266,0.704011311,0.764797073,0.623888243,0.582306491,0.437424321
66915,0.827445761,1,0.791027009,0.61746562,0.898585367,0.943255418,0.609807952,0.610271383,0.608374557
824022,0.934520106,0.791027009,1,0.797106705,0.776945337,0.753760498,0.678814946,0.543090554,0.446286459
343396,0.628947266,0.61746562,0.797106705,1,0.627183514,0.637645051,0.400297067,0.216611981,0.363516332
46861,0.704011311,0.898585367,0.776945337,0.627183514,1,0.885960619,0.774651247,0.733944457,0.605148597
238115,0.764797073,0.943255418,0.753760498,0.637645051,0.885960619,1,0.543568041,0.690584649,0.518381223
259529,0.623888243,0.609807952,0.678814946,0.400297067,0.774651247,0.543568041,1,0.717744629,0.704013757
317093,0.582306491,0.610271383,0.543090554,0.216611981,0.733944457,0.690584649,0.717744629,1,0.530671168
423829,0.437424321,0.608374557,0.446286459,0.363516332,0.605148597,0.518381223,0.704013757,0.530671168,1
