marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,E,S,L,C,evaluation,Wdata
US,38641465,R37KYGDKHQ87NK,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,0.6,263,270,1,1.0,"Great product and the only ceramic, ionic blow dryer with a retractable cord","This is the only ceramic, ionic blow dryer with a retractable cord that I could find on the market and I am very pleased with it.  My fiance loves it because the cord doesn't get tangled or clutter up the bathroom counter.  I love it because it's a great size and performs well-- drying hair very quickly.  The only reason I hesitated from giving it 5 stars is that it is a bit heavy (because of the ceramic core, I suppose).  Lastly I think the product could be improved with a more ergonomic handle.",2005-09-15,0.3166666666666666,0.7106060606060606,578,0.3093193513620663,8.52702969927053,0.0
US,52683833,RU20NJLY6V7GR,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,1.0,4,4,1,1.0,"Tough on my cat, but great on hair!","I bought this when my Conair travel dryer finally gave up after nearly a decade.  I purchased this specific dryer because of the retractable cord, and love it!  The added benefit is that it dries my hair so quickly, but it was the cord feature that sold me.  Warning: as the previous reviewer mentioned, cats don't like this dryer.  When the cord retracts it must sound like the retracting cord on my vacuum cleaner because my 13 year old cat flies off the bathroom counter as soon as I pull the cord to plug it in.  Otherwise, it's a great little dryer.",2006-01-13,0.200534188034188,0.478846153846154,590,0.325490787837536,2.0,0.0214963646342897
US,37977691,RWT0WOGKRBZ9A,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,1.0,15,16,1,0.1,Great item!,"I have used ionic hairdryers for the last couple of years. Ionic dryers do dryer faster, and with less heat so they are easier on your hair. This was the first one I have seen with a retractable cord, which is what first attracted me.  Be careful not to pull the cord out to far or it doesn't retract well.<br /><br />Over all this is a great little dryer, at a great price.  I say two very enthusiastic thumbs up!",2006-01-28,0.3382575757575758,0.5954545454545455,426,0.3496361318925138,0.3363585661014858,0.0043688551396218675
US,50274025,RNZ379Y4JG3DC,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,-0.6,3,4,1,0.1,It Broke!,"This hair dryer worked well for a few weeks, and I was impressed with the speed I could dry my hair and the softness from the Ionic stuff.  However, after a few weeks of use it broke.  It over-heated and then the off switch wouldn't work, so whenever it was plugged in, it was on!  Very disappointed, as I was enjoying my new dryer!",2006-02-03,0.0255411255411255,0.5470779220779222,342,0.0864006541578561,-0.0848528137423857,-0.00028445755218526025
US,29902606,R19DO11XQG8TBR,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,0.6,5,6,1,0.1,Good dryer,"All in all, it's  a good little hair dryer.  It doesn't blow as hot as my older dryers, but it dries my hair fast and with less sweating on my part!!  The retractable cord is kind of sluggish & doesn't retract all the way.  But it's still an improvement over regular cords that were always getting tangled up with my curling iron cord. The folding handle definitely makes it easier to pack.  I'm not real sure if I notice much difference with frizz. Maybe a little better. The only negative comment I can make is that it's very LOUD!",2006-02-17,0.139828431372549,0.5423244511479807,544,0.2386479569502443,0.1090272355699284,0.0011097866505800629
US,19482434,R9GJ21246R5XN,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,0.6,3,3,1,0.1,i like it,"this is a good product, especially for the price - quite powerful, i like the folding handle and retractable cord and it doesn't eat my hair.  My only complaint is it has shut off once or twice on its own.  It came back on after a minute, but it makes me wonder about its longevity.",2006-02-24,0.1857142857142857,0.6857142857142858,292,0.1970565686115321,0.1039230484541326,0.0009129203442871378
US,50896876,R2TVLB5Z0R9LEU,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,0.6,2,3,1,1.0,Works great - but I'm a bit nervous...,"I'm nervous because even though this hair dryer dried my hair faster (you should blot before using it though), better and softer than the typical one that I'd been using, other reviewers have mentioned their ones shutting off and overheating, and I'm wondering how long mine will last. But I'll buy another one, should mine act up.",2006-03-08,0.1083333333333333,0.455952380952381,370,0.2363721889315853,0.7205621731056017,0.008155153911001424
US,16062841,RQDTYG93O2WYO,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,-0.6,4,4,1,0.1,Great until...,I have very thick hair that's hard to dry.  This blow dryer dries my hair quickly and I loved the retractable cord.  It was a great blow dryer till it stopped working 3 months after I bought it.   Now what?,2006-03-12,0.2692857142857143,0.6513095238095239,221,0.2529254587058419,-0.12,-0.0014866504672418211
US,50793663,R1KY2UW597KKBX,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,-0.6,13,14,1,0.1,Great air flow but too loud!,"The retractable cord is wonderful.  The air power is good and it does a nice job drying your hair.  As mentioned by others, it is heavy.  The handle is also clumsy to hold, especially for someone with small hands.  <br /> <br />My main objection is that it is much too loud and for that reason alone I would not buy it again.",2006-03-23,0.2451388888888889,0.6486111111111111,354,0.2596606429632874,-0.1859297905063241,-0.0025109148737871164
US,50513054,R2PL90JSFKX5IB,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,-0.2,99,107,1,1.0,Good ... and not so good,"Pros:   <br />1. This blow dryer is great for the price.  Just don't expect a $100+ ionic dryer.  You get a nice $18 dryer for $18 - simple. <br />2. Nice looking, sleek design, with retractable cord.  This is not a compact dryer for travel - it should be considered more of a mid-size. <br /> <br />Cons: <br />1.  Retractable cord is quite short, which could be a problem if your outlet is not very close by.   <br />2.  Very loud!  I saw others complain about this, and now I know what they mean.  It's loud.  <br />3.  The retractable cord failed to retract after a couple of uses.  This is disappointing considering it was a major factor in my purchase. <br /> <br />Bottom Line: <br />Does it dry hair quickly and make it smooth and silky??  No more than any other dryer.  It's a nice, inexpensive, blow dryer, but I personally would not purchase it again. <br />",2006-05-28,0.1638257575757576,0.5986201298701298,894,0.25339730987637,-1.4587882489724506,-0.02593877809082669
US,48232884,R2PD75S6ICE68L,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,-1.0,3,5,1,0.1,Don't buy this dryer,This dryer conked out after I had it only four months. Don't buy it.,2006-06-06,-0.0503005793688826,1.0,89,-0.0248623102949352,-0.1174618943088019,-0.00021215705914474065
