T,X,V,WW
1,0,10,24000.0
1.97294201903575,10,10.5562095260530,23364.76903082101
2.90284337925389,20,10.9514480122781,22802.0526959595
3.80396470632174,30,11.2431215747916,22288.960848301827
4.68481095259969,40,11.4623166154838,21812.661124637933
5.55097388349460,50,11.6280273447874,21365.082847844482
6.40637497491336,60,11.7528172679171,20940.755312816058
7.25389383191982,70,11.8454777253560,20535.768629151833
8.09571899309041,80,11.9124246545031,20147.2159714136
8.93355851335581,90,11.9584951532239,19772.86924472259
9.76877364217374,100,11.9874312433752,19410.97858118044
10.6024675496475,110,12.0021887127099,19060.14223833183
11.4355464054048,120,12.0051424802291,18719.21878993827
12.2687627292583,130,11.9982278660264,18387.265891648673
13.1027469709598,140,11.9830406039828,18063.496383219357
13.9380310398621,150,11.9609094180537,17747.246065556992
14.7750661872046,160,11.9329498344491,17437.949557410368
15.6142368377887,170,11.9001048440926,17135.121877937476
16.4558714590635,180,11.8631761503474,16838.344172569097
17.3002512254304,190,11.8228485468727,16547.252492930616
18.1476170159210,200,11.7797091967198,16261.528865432685
18.9981751340547,210,11.7342630687909,15980.894100657142
19.8521020351533,220,11.6869454377781,15705.101944784166
20.7095482733460,230,11.6381321112888,15433.934278436425
21.5706418281469,240,11.5881478770982,15167.197142249823
22.4354909324359,250,11.5372735412900,14904.717421774116
23.3041864956511,260,11.4857518394045,14646.340063255497
24.1768041951268,270,11.4337924375635,14391.925720680265
25.0534062928022,280,11.3815761921012,14141.348756043591
25.9340432225810,290,11.3292587998202,13894.495531143994
26.8187549844751,300,11.2769739433542,13651.262941692405
27.7075723745897,310,11.2248360149547,13411.557154160259
28.6005180745147,320,11.1729424856650,13175.292513290568
29.4976076193723,330,11.1213759741201,12942.390594081122
30.3988502603855,340,11.0702060592328,12712.779376703338
31.3042497351372,350,11.0194908731451,12486.39252652872
32.2138049565527,360,10.9692785045682,12263.168764410748
33.1275106299184,370,10.9196082376252,12043.051314774397
34.0453578058694,380,10.8705116472858,11825.987421021124
34.9673343761573,390,10.8220135692218,11611.927919358028
35.8934255180944,400,10.7741329592585,11400.82686347864
36.8236140928218,410,10.7268836554210,11192.641193615706
37.7578810019283,420,10.6802750537825,10987.33044439754
38.6962055064265,430,10.6343127078314,10784.856486703537
39.6385655116611,440,10.5889988598337,10585.18329935861
40.5849378213515,450,10.5443329116163,10388.276767052386
41.5352983636558,460,10.5003118413173,10194.104501334125
42.4896223918685,470,10.4569305718873,10002.635681932605
43.4478846621239,480,10.4141822964814,9813.840915992563
44.4100595902669,490,10.3720587653180,9627.692113114957
45.3761213898636,500,10.3305505380935,9444.162374344578
46.3460441931551,510,10.2896472056114,9263.225893471441
47.3198021566063,520,10.2493375839109,9084.857869206837
48.2973695525597,530,10.2096098838436,8909.034426965107
49.2787208483804,540,10.1704518587491,8735.732549131435
50.2638307743591,550,10.1318509326181,8564.930012827119
51.2526743815325,560,10.0937943108888,8396.605334299265
52.2452270904834,570,10.0562690758114,8230.737719163728
53.2414647320861,580,10.0192622681200,8067.30701781996
54.2413635810837,590,9.98276095657834,7906.2936854359505
55.2449003832986,600,9.94675229680580,7747.678745971654
56.2520523772089,610,9.91122358064743,7591.443759771467
57.2627973105547,620,9.87616227722309,7437.570794311337
58.2771134525739,630,9.84155606667150,7286.042397734773
59.2949796024125,640,9.80739286749909,7136.841574855111
60.3163750941986,650,9.77366085834697,6989.951765339536
61.3412797992212,660,9.74034849490164,6845.356823824097
62.3696741256111,670,9.70744452259558,6703.041001738789
63.4015390158777,680,9.67493798567319,6562.988930648152
64.4368559426195,690,9.64281823313172,6425.185606936135
65.4756069026912,700,9.61107492198975,6289.616377684562
66.5177744100785,710,9.57969801828244,6156.266927612674
67.5633414877038,720,9.54867779613607,6025.123266961236
68.6122916583589,730,9.51800483523190,5896.171720218811
69.6646089349392,740,9.48767001693141,5769.398915600213
