id,D
180228,22.09375
2285572,0.0
172041,0.0
933898,0.1875
90124,0.0
622604,0.0
188432,0.0
106514,3.078125
1032216,0.0
49180,18.765625
3178543,0.0
90169,1.453125
630845,0.0
606283,4.296875
90188,0.0
753742,0.0
581713,0.125
82013,202.59375
204901,217.3125
3506278,0.0
778344,101.890625
262255,16.625
532610,0.0
254083,0.0
3227782,0.0
163977,0.0
57488,6.875
819344,0.0
270491,56.859375
3391646,0.0
811178,0.0
1777836,0.234375
213165,0.0
147635,0.0
934069,12.40625
73914,0.125
32971,0.0
377035,0.0
237773,0.0
164053,3.5
622805,400.078125
49367,0.28125
213212,12.125
180449,15.140625
884962,4.78125
475362,0.0
581859,0.0
82149,0.0
524522,0.890625
164093,165.875
942335,0.0
467203,139.28125
565521,7.625
950571,3.109375
753963,0.0
958768,0.0
835894,0.0
352575,0.0
41283,0.0
926021,0.0
328014,0.0
524634,0.0
696668,0.0
295276,0.0
246127,0.0
754032,180.390625
24944,0.375
385393,0.0
827760,0.0
475511,0.0
311674,0.0
205180,0.0
106882,4.125
688515,0.0
582024,0.0
33161,374.984375
303506,4.46875
778656,0.25
614823,2.34375
803242,0.3125
795053,0.0
762288,78.015625
197040,61.09375
852405,2.4375
680374,0.21875
590265,0.25
745915,0.0
3383741,0.0
942529,0.75
541125,0.0
41420,3.515625
590285,9.515625
934350,0.0
74195,38.703125
532957,71.171875
139741,0.0
3178979,0.0
508391,0.1875
2802154,0.0
745964,0.0
41462,0.0
98819,0.625
492037,0.0
721416,0.0
131603,0.0
3416601,0.0
573978,1.9375
139804,1.53125
926237,0.0
3670556,0.0
238115,1169.625
131624,3.15625
131627,0.0
131650,0.0
426564,0.0
770629,22.578125
254535,43.1875
680522,0.0
811598,29.421875
107090,0.0
213590,55.71875
737886,0.1875
918111,0.0
279141,0.0
582253,11.15625
49774,1.0
369270,44.453125
295545,38.015625
123515,0.0
8828,0.0
533117,48.5
664194,155.578125
107139,52.234375
262794,0.0
803469,0.0
82584,428.859375
139933,235.84375
688804,0.25
582313,0.359375
778925,0.0
287407,0.125
852656,0.0
90803,169.71875
66228,155.703125
271029,132.859375
819894,75.5
312004,0.0
221894,32.125
615119,0.0
664272,0.25
74452,119.203125
836312,0.0
238297,0.0
107227,0.0
385766,1.40625
819946,0.1875
107249,0.0625
164594,367.90625
672498,0.125
1409777,0.0625
197364,0.0
3416819,0.0
312062,0.5
131841,10.40625
729857,0.0
271113,3.921875
819983,0.0
279315,0.0
2540309,0.0
893719,76.5
836376,0.0
394013,0.0
3359519,0.0
762663,0.0
279337,22.578125
836394,0.0
492331,0.0
639789,3.109375
860985,0.0
312126,0.125
516929,0.0
402249,2.890625
295756,32.203125
148305,0.4375
623443,0.0
197460,0.90625
926548,0.0
115544,0.0625
459616,0.0
115554,0.0625
246628,17.171875
762731,22.625
287604,503.703125
25462,0.0
852855,1.4375
566138,0.0
918400,0.0
500612,0.0
803720,0.0
82831,211.46875
41874,0.0
230297,0.0
238495,0.0
648106,0.0
41899,0.0
2515882,0.0
402351,1.15625
361393,119.984375
500664,0.0
197582,0.0
517074,5.859375
320470,0.0
746470,0.0
869364,0.0
58361,2.671875
254972,0.0
148477,42.234375
9218,0.0
697350,0.0
812040,0.0
820232,0.0
66570,1.90625
82955,0.0
123915,0.0
2401289,0.0
574483,0.125
115733,50.90625
869409,6.0625
762921,16.671875
484396,4.046875
697391,0.0
607283,0.375
377908,0.0
83013,76.03125
58438,14.5625
918600,0.484375
181321,0.0
1098,0.0
3236942,0.0
345168,6.15625
238686,0.0
246885,41.71875
1000558,0.0
3105903,0.0
1606776,0.09375
99449,0.0
328824,0.0
197757,0.0
181376,5.796875
574597,0.0
418955,25.71875
345227,0.0
165011,228.59375
83095,0.0
500889,107.90625
418981,113.203125
1190,25.859375
746666,9.046875
246960,0.0
25778,0.34375
58549,30.28125
795841,1.125
33995,0.0
935117,0.0
820434,34.578125
140499,0.5
746707,0.0
165077,0.0
607448,185.484375
337119,0.46875
3237096,0.0
255210,0.0
746731,0.0
664817,0.0
320761,0.0
83194,0.0
165117,0.0
591104,0.25
25857,0.0
3065088,0.0
476425,0.0
230667,0.0
3319054,0.0
664849,5.59375
197921,0.0
3278115,0.0
34094,13.3125
664883,2.671875
1426748,0.53125
17748,87.78125
50520,4.5625
673114,0.25
771419,0.0
828768,0.75
66915,117.3125
107877,7.859375
763237,0.0
476541,0.0
894335,553.765625
157063,0.0
796045,0.0
771470,0.0
99730,0.0
2811293,0.0
206241,0.0
935330,5.5
75171,191.75
746915,0.0
763301,0.0
509356,23.359375
378288,0.625
402872,32.0
9680,4.171875
116178,0.0
17877,8.21875
2393563,0.0
165345,1.765625
2999777,0.0
787940,0.125
3180014,0.0
853492,0.0
361973,0.40625
861687,0.0
75264,0.0
894465,96.390625
17929,24.171875
3606027,0.0
140816,33.265625
198162,115.0
607773,8.921875
75295,0.0
575012,28.015625
296487,0.0
230963,0.0
149044,77.640625
394806,0.0
181817,0.25
312890,1.1875
75329,0.0
493122,0.671875
894531,1.3125
190021,0.0
476744,0.0
575051,0.0
124492,0.0
34382,0.0
509524,9.6875
624215,37.640625
992857,0.0
108124,8.890625
288350,0.0
321126,0.0
91763,0.0
370326,0.0
763551,18.03125
763554,6.390625
657062,0.0
263852,0.0
403120,266.65625
747200,0.0
829122,0.0
829125,0.25
566984,0.0
116425,0.0
673486,0.0
804559,0.125
599777,0.0
222959,0.0
403184,4.484375
132856,0.0
329468,148.765625
771838,0.125
378624,170.421875
18176,12.78125
3376900,0.0
100116,1.015625
59156,42.734375
198426,0.125
321321,0.0
689965,0.0
354105,219.546875
34617,0.625
935739,0.125
845625,0.0
943936,0.0
927555,490.40625
206668,0.0
18258,48.59375
845662,0.375
411487,0.0
845668,0.40625
493412,0.0
894827,21.390625
