marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,E,S,L,C,evaluation,Wdata
US,34081760,R1NO6ZMMVWZ8JH,B00AHO43BG,667171015,fctry - baby pacifiers,Baby,1.0,0,0,1,1.0,Cutest Pacifier EVER!!!,I bought this &#34;stachifier&#34; as a surprise for a friend's little boy ...best and most adorable present ever!!! Definitely would buy this again!,2013-01-19,0.1625,0.5,173,0.2364231920143563,1.0,0.0
US,42043878,R18VULGOWCFU8Q,B00AHO6SH8,667171015,fctry - baby pacifiers,Baby,1.0,11,11,1,1.0,Adorable!,Can't stop laughing. Such a cute idea. Great gift. My 15 month hasn't taken it out since I put it in an hour ago. So adorable. Lots of laughs on the afternoon walk today :),2013-02-07,0.4875,0.875,182,0.3158597701931569,3.3166247903554,0.02086391880280194
US,12935946,RU7LXNH5RP3UH,B00AHO5SO2,667171015,fctry - baby pacifiers,Baby,1.0,0,0,1,1.0,It gives your baby a mustache!,"I mean really, whats not to love? We bought this as part of a baby shower gift. Future parents loved it.",2013-02-18,0.2174999999999999,0.4824999999999999,135,0.2674028984557676,1.0,0.008408896177854324
US,14160822,R3DUZSDYL95OQN,B00AHO43BG,667171015,fctry - baby pacifiers,Baby,0.6,5,5,1,1.0,Funny!,"Great product that always draws a laugh when our baby uses Stachifier. The only reason I didn't give it 5 stars is due to the fact that water can get trapped inside after cleaning if you aren't careful. Still, it's worth the money and is safe as long as you are diligent. I definitely recommend the Stachifier!",2013-02-21,0.1579545454545454,0.5204545454545454,317,0.2508365106322384,1.3416407864998738,0.011641061092712963
US,10377934,ROH0KK4DM1GTW,B00AHO6SH8,667171015,fctry - baby pacifiers,Baby,1.0,6,6,1,1.0,Really hilarious,I bought one for my nephew and wound up buying a few more for friends because they were so cute!,2013-02-21,0.35625,0.65,113,0.2750683205472785,2.449489742783178,0.023306752601247455
US,33701722,RFS380AFX6II7,B00AHO43BG,667171015,fctry - baby pacifiers,Baby,1.0,1,1,1,1.0,Baby looks just like Grampa!,"Really cute.  Baby loves it, great for pictures and you'll get lots of comments when your baby is &#34;plugged in&#34;!",2013-02-26,0.75,0.875,148,0.4421657304315468,1.0,0.017612471442766026
US,45358228,R3NX8EXI23M4MC,B00AHO6SH8,667171015,fctry - baby pacifiers,Baby,1.0,0,0,1,1.0,Love it,"I got this as one of the gifts at a baby shower I went to and it was the hit of the party,",2013-03-01,0.5,0.6,98,0.3442682236922174,1.0,0.014795594519267213
US,49845580,R2ZWYLM11C2ZEY,B00AHO6SH8,667171015,fctry - baby pacifiers,Baby,1.0,5,5,1,0.1,Stachifier Review,"Pacifiers can be so boring, right?  If you want to add some `funny' to you and your child's day as well as getting plenty of smiles and laughs, you have to check out the Stachifier.  Geared for babies and toddlers between the ages of 6-36 months, the Stachifier is a natural orthodontic shaped silicone pacifier that is BPA free.  Did I mention it is HILARIOUS?",2013-03-18,0.0892857142857142,0.7892857142857143,379,0.1003811463336795,0.223606797749979,0.0013646358362646475
US,4971820,R1XCGNP488022V,B00AHO5SO2,667171015,fctry - baby pacifiers,Baby,1.0,0,0,1,1.0,Really cute!,Makes a really cute gift! Gave this to my finance in a &#34;new daddy&#34; basket at the hospital and he loved it!,2013-03-28,0.7083333333333334,0.9333333333333332,127,0.3995962634221167,1.0,0.02848275252903977
US,20151390,R2PVXXE3WMMJAG,B00AHO6SH8,667171015,fctry - baby pacifiers,Baby,1.0,6,8,1,1.0,Hilarious!,"We got this Stachifier after seeing my little one's cousin with one. We couldn't resist. Not only do we get a kick out of seeing him in it, but he loves seeing himself in the mirror with it. He just cracks up! I will be purchasing the other styles for sure!",2013-03-29,0.1875,0.7527777777777778,268,0.1804673622557283,1.681792830507429,0.021951888262868643
