month,wdata
2015-07,0.6788014394956063
2015-02,0.7674348093191514
2011-04,0.3257261493293488
2013-09,0.5000991882640441
2009-07,0.0
2015-06,0.2878952705549631
2012-06,0.0131073203895609
2014-02,0.501123596906521
2013-12,0.535323859262556
2014-10,-0.17298875191041357
2009-10,0.0136741193628168
2014-01,-0.27952834963236933
2015-01,-0.042902302527611194
2014-12,-0.028500614171741767
2012-08,0.0100556004276787
2013-08,0.0666090102411816
2015-08,0.2794263931117732
2013-06,0.012714814598617698
2010-07,0.0477042357669583
2013-11,0.0217917722114455
2010-11,0.1448735359996825
2010-08,0.0501387432557085
2014-06,-0.5115161095851195
2013-05,0.2742435328492288
2012-03,-0.0104613785035932
2013-03,0.2109798996107461
2012-09,0.0167076901922457
2014-03,0.1274761557721507
2014-11,0.5641736996686852
2014-09,0.0194797964536666
2014-08,-0.4428205630630753
2012-02,0.07261879542496459
2015-03,-0.0420612898287979
2013-07,0.3151036701344669
2013-01,-0.0037223091798376
2013-02,0.1752104660170081
