marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,E,S,L,C,evaluation,Wdata
US,49532825,R1Y9OXA2S9XMF0,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,131,134,1,1.0,Microwave paint fix that works,"My daughter had a GE microwave/oven combo. The microwave had the infamous GE flaking paint interior problem. The cost of replacing the integrated units to correct the microwave was very steep. So I bought a can of this paint to see if it would work.<br /><br />To my amazement, it did! Now it wasn't easy, I had to degrease the inside of the oven (TSP), then sand it by hand and some machine for about an hour to get all the base paint solid. I used PaintStriper sanding blocks, 60 and 100 grit, the followed up with some 150 grit paper. Then I had to mask the oven opening with masking tape, paper, and a cheap plastic tarp to beware of overspray.<br /><br />Pro - Followed the directions on the can, and sprayed away! It worked and is still holding up 3 weeks later. So about $35 in material has, so far, stopped a very expensive (hundreds of dollars) oven replacement.<br /><br />Cons - The paint is acetone based so ventilation is a MUST .  Pick a day when doors and windows can be open and I would get the kids out of the house. The paint does dry very fast in about an hour.",2011-04-24,-0.0394444444444444,0.6436111111111111,1111,-0.0940672463383796,10.37362751988267,-0.0
US,36505671,R2A8J0U92HX2QH,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,2,2,1,1.0,Great Item,"Item was what was advertised, in condition advertised and delivered on time. That's all you can ask of a supplier. You must prepare the area where you are going to use the paint. Takes a lot of sanding and preparing, but the result of spraying even coats is great.",2012-12-10,0.8,0.75,275,0.5104778952572994,1.4142135623730951,0.2712907683528808
US,40629075,R3OIGVEO49MK81,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,5,6,1,1.0,Did the job,The microwave in our new house had corrosion and under the turntable. I sanded and cleaned for about an hour then sprayed this paint. I did have a little overspray but it turned out pretty well. There's a spot that looks like I didn't sand and clean well enough but there is plenty of paint left in the can to re-do it. It's good enough for now and the paint is holding up well after a month.,2012-12-24,0.1581912878787879,0.5318181818181819,404,0.2418449939053419,1.81712059283214,0.16902366103798463
US,14464149,R3B796T7QR95MG,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,0.6,6,7,1,1.0,works great,"VERY smelly!!!<br />Be sure to scrape all rust out with steel wool, paint scraper, whatever it takes. The directions were minimal...I googled for more information.",2013-01-22,0.5,0.6097222222222223,175,0.3636473079246581,1.2021868660222967,0.17613677121780463
US,22752384,R1QC59ZIODDVKT,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,54,55,1,1.0,works great - easy to use.,"I had a rust spot inside my microwave oven.  Sanded it down, put on two coats of paint, fixed the problem and the rust hasn't come back.",2013-04-29,0.2355555555555555,0.4144444444444445,163,0.3005923658234667,6.895065351141123,0.9618137129353687
US,33769586,R284KCRVBWCU44,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,26,28,1,1.0,microwave cavity paint,i had where and tear on the bottom of my unit and paint pealing on the top. i brushes it down with a wire brush and put several coats of paint on it as directed. the product worked great. the inside of my microwave looks brand new.,2013-08-31,0.2561616161616161,0.3986868686868687,254,0.34566530189864,4.170715680975921,0.7817387501249828
US,6786071,R3OAJDED2KQYH5,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,1,1,1,1.0,The Perfect Repair For A Rusty Microwave oven,After following the instructions it fixed my rusty microwave oven. I'm happy I had found this product. Now I don't have to pay a costly repair bill.,2013-09-06,0.475,0.575,194,0.3688974250027609,1.0,0.20142822828019608
US,3063391,R3SJIKVIV9MKRK,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,0.6,0,1,1,1.0,Micro paint,I bought a used micro that works great but needed a little &#34;tweaking&#34; for paint touch p inside.<br />This did the job!,2013-09-12,0.2828125,0.625,138,0.2404165020118809,0.6,0.079310160058396
US,24531934,R2AWDW6E2DCRWH,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,28,32,1,1.0,It works!,"Had large amount of rust under rotating plate in GE microwave.  Surface prep is important.  I started out with sandpaper and discovered this was going to take too long due to the amount of rust I had.  I ended up using a 1&#34; metal paint scraper to remove all paint/rust down to base metal in the damaged area, this worked very well.  Then sanded smooth.  Wiped surface clean with rubbing alcohol. Masked off area to be painted.  Ensure adequate ventilation when painting.  I applied mutliple coats.  2 months of usage thus far... looks great, holding up great!",2013-09-13,0.2064407814407814,0.601984126984127,573,0.2639518966817217,3.668016172818685,0.5329262219348248
US,27796835,R1FQ4YLU0T98BG,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,32,32,1,1.0,Great Product,The ceiling of my microwave was a disaster. Paint was peeling all over it. This product did the trick. Make sure you sand properly and spray several light coats rather than one thick one.,2013-09-18,0.2333333333333333,0.4856481481481482,201,0.281046653768139,5.656854249492381,0.8801257773251537
US,23437175,R3GS3W6EZFWPHG,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,2,2,1,1.0,Great microwave paint.,Very high quality product. This paint spayed right on with minimal dust and adhered right to the microwave for a smooth finish.,2013-11-25,0.3132380952380951,0.6039047619047618,150,0.2670679504475335,1.4142135623730951,0.22528108275396647
US,41869585,RTB4XKNR64IPN,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,2,2,1,1.0,Great purchase,This saved us from needing to buy a new microwave/ oven combo. Easy to use.  We used it to fix our microwave about 2 months ago and it's held up.,2013-11-25,0.4565656565656565,0.6792929292929294,160,0.3201301696041232,1.4142135623730951,0.2700409057312023
US,13690535,RUZ6RA77QFFFJ,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,1,1,1,1.0,Did what it was supposed to do,Did the job. Great coverage. Made the inside of the microwave look almost brand new. Very satisfied.  Would purchase again,2013-12-05,0.5287878787878788,0.7348484848484849,153,0.3384015492414117,1.0,0.20397974847086356
US,51675938,R1KSXYHP695BW8,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,0,1,1,1.0,microwave paint,This is stuff. It really worked very well. It save me a great deal of money having to replace a microwave that still works very well. I highly recommend this product.,2013-12-20,0.312,0.418,182,0.3436111054601615,1.0,0.2103697247174129
US,47902616,R4HWP8PKM1MN4,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,2,2,1,1.0,great product,This is a great product  Fixed my microwave like it was brand new  I would highly recommend it to anyone who has some paint chipping off the sides or top of their microwave,2014-01-15,0.416060606060606,0.5324242424242424,186,0.3520066094867031,1.4142135623730951,0.31293763153689924
US,17736240,R2EZWEW7PXCVTU,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,0,1,1,1.0,Touch up,Just needed for a touch up<br />But works great!  Will keep<br />On hand if see another chip<br />To be fixed,2014-01-21,0.55,0.475,118,0.3858564022452651,1.0,0.2440188975107193
US,25546248,R3QAYNVKOBFL3F,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,0,0,1,1.0,Great product!,"I really thought our built-in microwave was going to have to be replaced, because of the paint pealing away and rust forming where exposed.  To my amazement this inexpensive product solved my problem with ease.  Remember to have area well vented to the outside and to use a mask.  By using many light sprays you will prevent runs.",2014-02-25,0.42,0.44,345,0.4286262480923056,1.0,0.2805258798989995
US,15373248,R3DB1N7TM3YUFD,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,2,2,1,1.0,Saved Me a Packet,"My microwave was rusting out badly and it is an undercabinet attached microwave.  I didn't want to have to buy a new one to fit in that small spot and I didn't want to have to remove the microwave to paint it.  So in a couple of hours, I cleaned the microwave (directions online), covered all surfaces from overspray, and used this paint.  Now I have a new microwave and I keep a clean sock filled with rice in it when it is not being used.  The rice absorbs the moisture so the microwave won't rust again.  I am very happy.",2014-03-07,0.1861742424242424,0.621969696969697,542,0.2377381741646008,1.4142135623730951,0.22216314792362574
US,46178725,R35I3RETO99ZYO,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,-0.2,2,2,1,1.0,MICROWAVE CAVITY PAINT 98QBP03,"I scraped and cleaned the area really we'll as per instructions, but found that the paint started to peel again after three weeks",2014-03-11,0.2,0.2,160,0.3952115653990535,-0.282842712474619,-0.07414590929323242
US,41019586,R14FIJZSD3YTKU,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,0,1,1,1.0,Paint saves a perfectly good microwave,She Who Must Be Obeyed was ready to throw the microwave out as the interior was beginning to flake.  A little sand paper and paint and she welcomed it back into Her kitchen.  It feels good to go one up on this disposable society.,2014-03-15,0.2825,0.44,268,0.3444366252023801,1.0,0.22933485259376632
US,29151263,RLG9RZ63N1LCP,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,3,3,1,1.0,Saved my Microwave,I had a ring of rust and metal on the bottom of my microwave oven.  My husband just wanted to buy a new oven but I had already ordered this product.  I worked great.  I followed direction I found online and my oven is like new again!,2014-03-18,0.3689393939393939,0.5530303030303031,252,0.342267787348423,1.7320508075688772,0.3958397756198399
US,14526545,R30WBHAZLRK50N,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,1,1,1,1.0,Microwave Painting,This product was easy to use and when the paint dried - the paint blended in and match the original inside paint perfectly!,2014-03-22,0.4020833333333333,0.7958333333333334,142,0.2578638177883408,1.0,0.17283054117844027
US,11492178,R3SO343054RW5Y,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,1.0,2,3,1,1.0,Works Great,We have a GE oven/microwave combo (the microwave has the oven controls on it) and the paint was coming off the microwave.  I was concerned it was dangerous so I considered replacing the entire unit.  Then we heard about this paint and thought it was worth a try.  My husband is quite handy so he did the sanding and spraying and the microwave looks brand new.  Couldn't be happier and it sure beat the price of replacing the unit.,2014-04-03,0.248051948051948,0.6597763347763347,442,0.2608657019922704,1.2009369551760027,0.21234521216896676
