id,similarity_data
24568,0.0
31685,0.841887434696814
38936,0.8383468212570401
57124,0.8209264235387431
69153,0.836839651462674
70715,0.831402929967449
71209,0.8103732657417738
87597,0.8301408939219073
121590,0.7722173594204733
127451,0.871141387639223
171994,0.8631865999907979
174822,0.7945275406605642
232564,0.8280957231197122
233066,0.849545987174368
253142,0.805013753182884
294923,0.8210174652289856
307461,0.8558061559226975
583959,0.864100221611844
667794,0.8670311961430661
806247,0.8693024179682062
816387,0.8545886658707001
864209,0.8440621352479951
