id,D
3637248,0.0
294923,85.78125
622604,0.0
753685,204.6875
3145761,0.0
852007,988.359375
32807,1.4375
393257,0.46875
753706,0.25
491565,0.0
3178543,0.0
65590,16.515625
327735,5.390625
98361,0.0
74,0.0
753742,0.0
196690,3.96875
65620,0.0
327765,75.78125
3211361,0.0
3276902,0.0
3506278,0.0
131178,135.203125
262255,25.9375
393345,4.5625
557191,0.0
163977,0.0
819344,72.734375
98465,99.78125
98467,0.125
950441,0.9375
753833,0.296875
786613,139.5625
655547,2.078125
32971,0.484375
753868,0.40625
164053,5.28125
622805,687.125
3145947,0.0
2064609,0.0
884962,6.46875
524522,1.515625
164093,198.3125
491786,0.125
688400,25.140625
459027,20.53125
491802,4.4375
753963,47.375
950571,467.375
2031918,0.0625
753985,82.59375
328014,352.875
335,7.578125
164175,0.0
65882,2.640625
1016154,0.1875
524634,0.0
164189,1.453125
1507678,0.0625
196969,65.609375
295274,0.0
295276,453.046875
754032,6433.234375
196976,0.0
295285,0.0
98688,0.0
688515,0.0
754055,0.0
33161,1014.6875
885138,0.0
98707,0.0
197040,349.0
852405,2.4375
441,0.0
590265,81.578125
590285,15.515625
491996,18.015625
3178979,0.0
3539434,0.0
360948,0.0
295415,6.625
950777,0.0
360956,7.78125
131581,179.484375
721409,0.0
98819,5.03125
492037,2.671875
721416,0.0
328201,0.0
131603,0.0
950805,0.0
3670556,0.0
33316,10.46875
131624,9.671875
131627,134.1875
754219,184.625
885298,0.0
393789,3.265625
131650,189.65625
426564,0.25
754251,21.640625
589,0.0
918111,0.0
328288,27.0625
131681,61.0625
590441,17.40625
295545,99.234375
918140,0.0
885375,1.484375
98944,0.375
492162,19.9375
262794,2.53125
885387,0.0
590479,182.890625
590483,0.375
3408531,0.0
656021,0.0
623254,1.859375
164504,0.0
328352,95.5
688804,20.09375
950956,5.703125
852656,0.0
66228,266.984375
819894,385.4375
852665,0.375
33481,0.0
852688,2.265625
230105,0.0
230111,0.25
66276,20.53125
819946,0.1875
852718,0.0
1409777,0.0625
164594,786.3125
492275,54.625
197364,6.71875
131841,392.0625
3474187,0.0
819983,16.171875
918290,6.1875
33560,55.796875
394013,0.0
99104,4.15625
492331,90.734375
33580,2.359375
197424,2.859375
983872,0.0
885569,0.0
852810,3.203125
295756,113.671875
164686,0.125
1573712,0.0625
557905,0.0
623443,0.0
197460,1.90625
66395,12.484375
459616,4.296875
197475,0.0
230244,0.0
852842,14.890625
852855,616.921875
66429,43.671875
99198,9.90625
918400,22.453125
33666,3.109375
164750,7.0
820115,2.78125
230297,0.0
754587,1.3125
197532,212.03125
623518,5.1875
99246,4.234375
361393,183.390625
492466,44.53125
197582,0.0
66514,0.0
787428,0.0
492521,0.375
852970,0.0
3441660,0.0
295933,0.0
132095,0.9375
852997,0.53125
820232,119.4375
66570,29.09375
656420,0.5
295976,0.0625
918569,0.28125
361541,0.0
918600,0.734375
1097,0.125
1098,20.03125
951374,0.125
951375,0.09375
754767,27.171875
459860,0.0
394325,0.0
296024,3.65625
951384,4.859375
1113,0.0
263271,0.0
885875,21.359375
492663,13.0625
1606776,0.09375
99449,0.25
328824,0.0
787579,0.0
197757,0.0
492670,2.828125
1163,13.390625
165011,510.875
3474579,0.0
656541,0.0
1190,39.671875
99508,0.0
754879,26.328125
591048,20.515625
33995,0.0
165068,0.25
394449,10.53125
820434,53.734375
165076,0.0
165077,0.0
722133,0.0
689367,2.609375
99561,81.234375
66800,24.953125
787696,3.4375
1266,10.609375
787702,0.234375
328956,0.0
165117,0.0
591104,43.421875
558339,76.09375
853254,0.0
230667,1.125
1836313,0.0
197921,21.3125
1312035,0.0
3278115,0.0
951589,0.0
165162,17.40625
787757,44.9375
34094,129.5
66869,0.328125
755030,0.0
132449,40.40625
66915,5157.28125
623985,60.625
820596,0.0
34172,17.15625
2786685,0.0
230784,20.40625
99730,0.0
1433,4.359375
99753,27.09375
165294,0.8125
99770,0.0
230845,0.0
34249,4.90625
755152,0.03125
296402,53.453125
755156,127.28125
1498,0.1875
2393563,0.0
165345,2.234375
132579,40.578125
787940,0.125
230886,20.171875
165354,0.0
624107,0.0
3180014,0.0
853492,4.890625
361973,0.921875
1213943,0.0
787960,0.0625
2393596,0.125
558596,19.34375
3606027,0.0
329232,0.515625
722448,0.0
198162,169.953125
951825,0.0
296487,7.875
820780,0.0
99888,2.328125
230963,0.125
1589,0.0
394806,139.984375
624190,0.0
493122,95.21875
1611,0.28125
34382,0.0
624215,66.78125
591459,0.3125
231013,0.0
132710,1.734375
460390,0.0625
1476233,0.0
2754189,0.0
657041,0.0
296601,0.0625
624282,0.0
198302,4.53125
657062,0.0
263852,9.515625
689836,0.0
919239,1.171875
1050323,0.0
132849,0.0625
919282,6.609375
132856,0.0
329468,278.671875
263937,13.234375
591620,6.546875
3376900,0.0
820999,52.359375
460553,0.0
493327,16.734375
100116,1.015625
165652,0.0
198426,0.125
165663,8.171875
755494,379.765625
755496,0.390625
689965,0.0
984877,0.0
34617,7.765625
231225,0.0
263995,0.0
755519,6.296875
100160,2401.9375
329542,0.0
132940,1.1875
67406,86.8125
296802,1.265625
493412,1.59375
100197,0.0
165736,43.921875
558954,0.0
296815,3.984375
755570,27.015625
624504,6.21875
886648,0.0
919418,0.0625
788347,0.0
198532,31.375
853926,36.46875
231342,0.0
657329,0.75
395187,0.171875
165818,76.078125
133057,0.875
362437,14.9375
165830,3.203125
296903,0.671875
67528,15.40625
67529,0.0
67539,0.0
985047,0.0
165855,14.3125
919525,16.59375
231397,0.0
67561,1.3125
985076,0.0625
3115003,0.0
133119,13.703125
821252,0.0
788508,2.265625
591902,2.1875
755745,0.0625
985124,0.0
919598,7.578125
67631,3.203125
919603,0.65625
34867,0.0
133177,0.0
1968188,0.0
34880,0.0
690254,42.84375
755792,1.046875
2130,79.65625
34899,0.53125
788568,147.046875
788569,27.046875
788582,0.25
100473,0.765625
198783,301.859375
166025,0.0
100496,0.0
166033,0.0
329883,0.1875
264350,0.15625
919717,0.0
34988,5.390625
886961,0.0625
2394289,0.0
952503,0.0
854203,0.21875
2252,0.796875
35021,577.421875
755918,0.15625
231645,540.671875
100575,0.0
2273,4.34375
264430,0.0
198901,652.453125
329978,0.0
35076,7.0
919812,3.53125
198922,389.59375
690456,9.6875
493848,9.484375
2330,23.375
592161,0.0
919846,0.875
428329,0.0
133420,0.0
559405,0.25
919853,70.453125
100659,0.0625
264499,0.0
67900,21.84375
3639618,0.0
821571,2297.53125
3410250,0.0
330061,0.0
821590,11.71875
2411,128.3125
395633,0.0
919928,19.484375
559501,0.0
166291,1.171875
133528,5.984375
264617,0.0
362922,3.203125
821675,0.0
199089,0.0
199090,0.5
3475903,0.0
494016,0.0
887235,0.0
920004,0.0
788937,30.3125
952786,0.15625
756180,11.046875
494038,0.0
952794,106.140625
100840,0.0
166383,7.484375
100854,177.984375
952834,0.1875
920073,50.1875
35338,21.609375
2578,0.0
199194,0.0
